itemId,appId,titleWord1,titleWord2,titleWord3,tag1,tag2,tag3
com.endlessm.animals.en/2b0091fb4edaa5e00c8dc234eac449c82f954e5a,com.endlessm.animals.en,Primate,,,Mammals
com.endlessm.animals.en/2b2b30d0d142d0a0dcf8876455009cd56d24e044,com.endlessm.animals.en,Southern,Lapwing,,Birds
com.endlessm.animals.en/2d51eb4825377d92d3312215a508754e9e42de1b,com.endlessm.animals.en,Common,Carp,,Marine Animals
com.endlessm.animals.en/2d6efc3feb3fdd8358937e14d1f223514b9ce61a,com.endlessm.animals.en,Dogo,Argentino,,Mammals
com.endlessm.animals.en/30bf0d621c40bc55c88e0b78103118f03c14dde3,com.endlessm.animals.en,Mandrill,,,Mammals
com.endlessm.animals.en/321647ada9d0a8b4d0d49100619a3d6ec210a4ef,com.endlessm.animals.en,Fly,,,Insects
com.endlessm.animals.en/3411279358be7ed2ce05891bd915c8248e763bd1,com.endlessm.animals.en,Common,Bottlenose,Dolphin,Mammals
com.endlessm.animals.en/3495bc57bd45c9a299e15a10c740e4b5edcf4e3e,com.endlessm.animals.en,Whale,Shark,,Mammals
com.endlessm.animals.en/372169164321bb395610853d411ec1eecab8e895,com.endlessm.animals.en,Turkish,Angora,,Mammals
com.endlessm.animals.en/3990a2d2241af8fda2836bd709c857ee4871cd3b,com.endlessm.animals.en,Termite,,,Insects
com.endlessm.animals.en/3cbfa6a85f01f43a4db4f9c6a4a9a72ce2703b0c,com.endlessm.animals.en,Fly,,,Insects
com.endlessm.animals.en/3f4824d73f0e142c0f1598a2edfef19cc73511d6,com.endlessm.animals.en,Nile,Crocodile,,Reptiles
com.endlessm.animals.en/42d2ded06fdf5466e3617628822c103753fa03fe,com.endlessm.animals.en,Arabian,Horse,,Mammals
com.endlessm.animals.en/49343b4d931c63f13e24c9a165dbd4be7771f126,com.endlessm.animals.en,Frog,,,Amphibians
com.endlessm.animals.en/4999c14cca0289570db0afe6bdbf064c1f1998ff,com.endlessm.animals.en,Fox,Terrier,,Mammals
com.endlessm.animals.en/4a52c0718a58f1ddbfa9689ae1b241056a41ad31,com.endlessm.animals.en,Mexican,Hairless,Dog,Mammals
com.endlessm.animals.en/4b81fec9dd7f75ed3390ad068c017494c926ddd0,com.endlessm.animals.en,Chironex,Fleckeri,,Marine Animals
com.endlessm.animals.en/4bcbf5760a724b870ee07856b600de7f9986ac00,com.endlessm.animals.en,Hyacinth,Macaw,,Birds
com.endlessm.animals.en/4cad5c65feece385cfc311ab1f20aa309ef7e149,com.endlessm.animals.en,Loggerhead,Sea,Turtle,Reptiles
com.endlessm.animals.en/50dd81bed7fd22054ac7a236e95f6c161d8be8fb,com.endlessm.animals.en,Mongrel,,,Mammals
com.endlessm.animals.en/521db1ed91a566012b60345d706161b00b3d1447,com.endlessm.animals.en,Hoverfly,,,Insects
com.endlessm.animals.en/5337d6553432e95ee2f07ecb40ed42efb7a7f733,com.endlessm.animals.en,Bird,,,Birds
com.endlessm.animals.en/5452e15379789abe9a6d820eb3e892720ca281f4,com.endlessm.animals.en,Psittacidae,,,Birds
com.endlessm.animals.en/5842cf6722b47ba5ad0ebfc114c9c4a1c2ad59a3,com.endlessm.animals.en,American,Black,Bear,Mammals
com.endlessm.animals.en/586ee6924018f8ca345831d2e710a29fc7928d16,com.endlessm.animals.en,Vespidae,,,Insects
com.endlessm.animals.en/59c53b092ab29276e7bd7c4e2b05d1a531c0536a,com.endlessm.animals.en,Aye-Aye,,,Mammals
com.endlessm.animals.en/5bb5c8673a4a38bbc82bb9d125fda0a09740dc83,com.endlessm.animals.en,African,Penguin,,Birds
com.endlessm.animals.en/5e7b58a79006d5ef7f4d7be2eaa8a0a0c1c0f5b5,com.endlessm.animals.en,Woodworm,,,Insects
com.endlessm.animals.en/5f787474bccf42df6c9e03e43adbe11d6842d0ed,com.endlessm.animals.en,Lepidoptera,,,Insects
com.endlessm.animals.en/622ee0d29142dd48d619292a046285719fdc1c54,com.endlessm.animals.en,Crocodylidae,,,Reptiles
com.endlessm.animals.en/626b47de9aac6db87c793b3bb73d313fcb7202cb,com.endlessm.animals.en,Guppy,,,Marine Animals
com.endlessm.animals.en/62d502d63899e56af87aadab136effc1d4c9a838,com.endlessm.animals.en,Pony,,,Mammals
com.endlessm.animals.en/6464cbbed6b8118d2b1a4ea917a9c2bbd994ad31,com.endlessm.animals.en,Rhacophoridae,,,Amphibians
com.endlessm.animals.en/654a4c7c182c8b1766fee144509dd97eb5574776,com.endlessm.animals.en,Armadillo,,,Mammals
com.endlessm.animals.en/67749503f8b310424ae8a2786c7db6ec3d04262c,com.endlessm.animals.en,Wasp,,,Insects
